codigo_ibge,ano,n_ocorrencias,n_via_publica,n_periodo_conhecido,n_noturno
3518206,2026,270,142,75,46
3518305,2026,291,144,120,58
3518404,2026,1107,624,399,186
3518503,2026,112,38,26,9
3518602,2026,324,190,129,56
3518701,2026,4217,3126,1592,685
3518800,2026,16983,13479,7098,3378
3518859,2026,134,81,53,21
3518909,2026,45,14,32,15
3519006,2026,93,30,26,12
3519055,2026,108,69,17,9
3519071,2026,2729,1845,804,348
3519105,2026,117,34,32,16
3519204,2026,50,23,14,10
3519253,2026,57,24,17,7
3519303,2026,384,229,157,90
3519402,2026,87,55,27,12
3519501,2026,83,38,21,10
3519600,2026,715,322,272,123
3519709,2026,836,431,284,161
3519808,2026,73,13,19,12
3519907,2026,40,9,12,7
3520004,2026,285,229,96,53
3520103,2026,349,212,73,44
3520202,2026,119,64,56,22
3520301,2026,335,160,146,76
3520400,2026,539,255,259,128
3520426,2026,305,153,124,68
3520442,2026,228,100,84,39
3520509,2026,2309,1461,804,369
3520608,2026,38,15,17,6
3520707,2026,60,20,9,4
3520806,2026,4,0,1,0
3520905,2026,92,32,44,21
3521002,2026,261,104,118,65
3521101,2026,70,20,24,13
3521150,2026,37,9,12,4
3521200,2026,40,14,16,9
3521309,2026,264,34,48,26
3521408,2026,161,92,45,26
3521507,2026,57,15,13,8
3521606,2026,45,15,14,7
3521705,2026,108,35,58,31
3521804,2026,240,69,50,25
3521903,2026,146,67,45,17
3522000,2026,25,6,8,2
3522109,2026,2589,1843,1191,497
3522158,2026,10,4,7,3
3522208,2026,2398,1879,850,491
3522307,2026,2090,1169,597,323
3522406,2026,945,446,338,170
3522505,2026,2624,1937,1048,547
3522604,2026,615,377,152,70
3522653,2026,14,5,4,2
3522703,2026,512,247,104,45
3522802,2026,94,35,22,14
3522901,2026,124,41,58,31
3523008,2026,32,9,9,4
3523107,2026,4047,2950,1500,740
3523206,2026,420,193,96,50
3523305,2026,111,43,39,17
3523404,2026,1017,603,305,150
3523503,2026,146,60,32,20
3523602,2026,170,57,41,22
3523701,2026,98,76,11,6
3523800,2026,79,28,25,20
3523909,2026,1562,784,560,258
3524006,2026,682,393,271,132
3524105,2026,396,183,83,52
3524204,2026,47,23,22,11
3524303,2026,719,425,230,124
3524402,2026,2207,1374,745,385
3524501,2026,47,14,14,9
3524600,2026,183,71,78,24
3524709,2026,586,345,179,92
3524808,2026,726,392,162,65
3524907,2026,58,23,29,20
3525003,2026,1068,700,382,192
3525102,2026,407,197,153,78
3525201,2026,341,208,98,56
3525300,2026,1682,986,555,327
3525409,2026,103,65,20,15
3525508,2026,92,45,40,23
3525607,2026,35,14,10,9
3525706,2026,513,233,146,84
3525805,2026,41,8,13,9
3525854,2026,21,8,16,15
3525904,2026,4686,3361,1629,741
3526001,2026,200,78,42,14
3526100,2026,245,110,104,51
3526209,2026,320,162,135,75
3526308,2026,30,16,17,9
3526407,2026,255,132,87,46
3526506,2026,98,4,22,1
3526605,2026,50,28,21,10
3526704,2026,1179,762,225,107
3526803,2026,712,439,184,93
3526902,2026,3479,2445,1210,652
3527009,2026,56,27,27,10
3527108,2026,874,405,241,117
3527207,2026,839,522,220,112
3527256,2026,6,1,3,2
3527306,2026,406,251,116,57
3527405,2026,194,68,46,24
3527504,2026,15,7,2,1
3527603,2026,99,57,25,18
3527702,2026,22,5,14,6
3527801,2026,17,10,6,3
3527900,2026,19,9,5,3
3528007,2026,95,40,51,28
3528106,2026,40,11,15,8
3528205,2026,10,3,1,1
3528304,2026,27,9,9,7
3528403,2026,448,193,163,71
3528502,2026,987,666,371,188
3528601,2026,80,26,25,13
3528700,2026,30,9,8,4
3528809,2026,99,22,29,12
3528858,2026,27,10,10,5
3528908,2026,22,10,5,5
3529005,2026,3014,1700,954,494
3529104,2026,20,11,4,3
3529203,2026,203,75,74,32
3529302,2026,741,394,266,145
3529401,2026,4284,3287,1761,821
3529500,2026,65,24,30,13
3529609,2026,28,15,10,4
3529658,2026,15,6,5,3
3529708,2026,255,123,85,46
3529807,2026,94,36,34,22
3529906,2026,239,98,70,32
3530003,2026,28,11,9,4
3530102,2026,196,70,40,17
3530201,2026,152,41,49,33
3530300,2026,589,297,165,82
3530409,2026,43,18,12,6
3530508,2026,866,480,211,130
3530607,2026,4876,3360,1997,995
3530706,2026,2057,1255,612,333
3530805,2026,1062,609,382,184
3530904,2026,23,5,7,3
3531001,2026,12,7,5,3
3531100,2026,1565,1053,680,277
3531209,2026,52,18,10,3
3531308,2026,474,285,119,61
3531407,2026,205,82,54,30
3531506,2026,155,54,24,16
3531605,2026,40,11,12,8
3531704,2026,33,18,13,8
3531803,2026,479,243,213,89
3531902,2026,481,310,98,45
3532009,2026,76,34,32,21
3532058,2026,30,14,4,1
3532108,2026,23,10,5,3
3532157,2026,15,4,9,5
3532207,2026,58,20,22,9
3532306,2026,40,17,18,11
3532405,2026,133,64,56,32
3532504,2026,44,16,7,2
3532603,2026,72,21,24,17
3532702,2026,19,2,5,1
3532801,2026,64,20,15,12
3532827,2026,68,34,26,14
3532843,2026,11,4,2,1
3532868,2026,12,3,2,2
3532900,2026,78,23,22,14
3533007,2026,164,39,47,23
3533106,2026,5,3,2,1
3533205,2026,37,12,13,6
3533254,2026,20,8,9,7
3533304,2026,22,5,8,4
3533403,2026,633,383,217,103
3533502,2026,359,137,110,49
3533601,2026,95,38,16,12
3533700,2026,27,12,7,2
3533809,2026,15,7,5,0
3533908,2026,559,259,175,84
3534005,2026,44,16,11,3
3534104,2026,31,13,8,2
3534203,2026,29,6,12,7
3534302,2026,323,182,72,47
3534401,2026,10614,8382,4363,2102
3534500,2026,11,4,3,1
3534609,2026,257,128,52,21
3534708,2026,1385,722,464,201
3534757,2026,106,42,41,17
3534807,2026,64,23,11,4
3534906,2026,114,28,24,6
3535002,2026,79,19,37,17
3535101,2026,70,25,12,4
3535200,2026,51,25,21,9
3535309,2026,211,69,84,46
3535408,2026,162,57,53,23
3535507,2026,398,156,128,77
3535606,2026,174,83,66,37
3535705,2026,27,15,9,2
3535804,2026,196,85,44,20
3535903,2026,42,17,16,10
3536000,2026,82,20,30,12
3536109,2026,71,30,20,11
3536208,2026,206,89,91,36
3536257,2026,44,10,15,5
3536307,2026,203,107,57,36
3536406,2026,51,22,14,8
3536505,2026,1286,791,476,257
3536570,2026,22,10,6,3
3536604,2026,56,11,6,3
3536703,2026,595,289,180,88
3536802,2026,31,6,14,5
3536901,2026,10,0,1,1
3537008,2026,155,61,52,27
3537107,2026,344,176,74,34
3537156,2026,16,7,2,1
3537206,2026,91,30,35,19
3537305,2026,659,323,162,86
3537404,2026,277,106,88,39
3537503,2026,71,31,21,15
3537602,2026,1510,981,691,284
3537701,2026,23,4,5,5
3537800,2026,422,206,142,81
3537909,2026,177,90,54,33
3538006,2026,1654,1027,611,333
3538105,2026,106,49,26,10
3538204,2026,112,56,47,28
3538303,2026,18,10,2,1
3538501,2026,50,21,15,6
