codigo_ibge,municipio,taxa_cvli,taxa_estupro_total,taxa_furto_outros,taxa_furto_veiculo,taxa_lesao_dolosa,taxa_roubo_outros,taxa_roubo_veiculo,taxa_tentativa_homicidio,taxa_trafico,pib_percapita,prop_esgoto_adequado,prop_lixo_coletado,renda_domiciliar_mediana,taxa_alfabetizacao,taxa_urbanizacao,i_amb_ord,i_cidade_ord,i_educ_ord,i_fiscal_ord,i_gov_ti_ord,i_planejamento_ord,i_saude_ord
3500105,Adamantina,0.020508250567781904,-0.22444274393793742,-0.04952643555007816,-0.1994299224094344,0.15252006798628837,-0.19074023649739708,-0.4186188692697648,-0.2346313267800655,0.06280133278161507,0.012284477184067524,0.2959359252138616,0.24894581627786463,0.39558303699873193,0.3649683254024952,0.3199406902296544,0.5413073918845833,-0.2922062152160345,0.3066829448624137,0.29831703052621333,0.7835104224773526,-0.19516544429171995,0.1346219032838301
3500204,Adolfo,0.15588244741328391,0.3446061331115753,-0.12118264532282938,0.24718703240763418,0.677475459015868,-0.23537288472825674,-0.4186188692697648,-0.02360276446132039,0.1687963694196524,0.015623249491595903,0.35698935965531914,0.19662540552469077,0.12520521268149487,-0.36213020077754327,0.17417392562818385,-0.27969609079756,-0.2922062152160345,-0.3639535866157418,0.10486568290916139,-0.32084981616853203,0.2864182189803885,0.3163335232956547
3500303,Aguaí,0.2501957968372096,0.03598068409908642,0.4663803623177988,-0.007998438308153,-0.011483830828464417,0.11888194840415128,0.3519269025178516,0.16582439329715998,0.14298760411991512,0.10179525793962745,0.21622692366784807,-0.083077005793459,-0.3576092979321145,0.04033106294902336,0.21079980421605182,-0.27969609079756,0.7525309698016303,0.47431693011940274,0.10486568290916139,-0.21042373164548486,-0.19516544429171995,0.1346219032838301
3500402,Águas da Prata,0.007419108285801991,-0.04383998785340527,-0.2500534309892536,0.14157348226055744,0.039332892112152795,-0.012943508400671055,0.3374861537095768,-0.1828468169075489,0.009585190684309238,-0.19156743392782277,0.09620261826887563,0.23467969263699498,0.3177925977337389,0.4450158695691049,0.03586588543981388,0.3770771398138887,-0.031012124672937343,-0.5315875718727309,-0.28209505353334857,-0.32084981616853203,-0.19516544429171995,-0.41056747568954105
3500501,Águas de Lindóia,-0.21708678074610804,0.018451508006677678,-0.37382144891663477,0.28690415300274663,0.012299547763023298,0.09141480072991742,0.042306784102735515,0.1037354373355889,0.2013810241136376,-0.05230157933333233,0.18477062348088938,0.3083896932777356,0.43367841479569297,0.3471799822543601,0.02028354363357019,0.21289614696697068,0.7525309698016303,0.3066829448624137,0.29831703052621333,0.8939696381388703,0.04559027037543724,0.4980451433074793
3500550,Águas de Santa Bárbara,0.2135556072601881,0.5648431549801906,0.2094663264044279,0.11971261653009246,-0.01487462300537832,-0.19831226194380264,-0.4186188692697648,-0.18031525530042872,-0.15893768883417353,0.05549644454081179,0.271971462339435,0.09483512302568987,0.39558303699873193,0.17596717945355658,0.04651195733971897,-0.27969609079756,-0.2922062152160345,-0.5315875718727309,-0.28209505353334857,-0.32084981616853203,0.2864182189803885,-0.7740452346510878
3500600,Águas de São Pedro,-0.5713052777266532,-0.2602195739829588,0.3363999977214496,0.29046740486233497,-0.00961415511442021,-0.7026618289518174,-0.4186188692697648,-0.803595461116235,-0.41388534632237334,0.24769659473930694,0.37428839979349693,0.3723620827756021,1.5560512293991091,0.8697125622308429,0.4243203459928798,0.048715154120052624,-0.2922062152160345,0.47431693011940274,0.10486568290916139,-0.09996451598396681,-0.19516544429171995,0.4980451433074793
3500709,Agudos,0.09203916165844613,-0.0030732744732926377,0.18215137427103079,0.1605800728953206,0.008844082257159519,0.0933134693046429,-0.056094932497974634,-0.09208205103019564,0.2204798553974967,0.46734582515259393,0.3225930174563762,0.18393268951788905,0.12520521268149487,0.29826203859698763,0.2885775082260266,0.3770771398138887,-0.031012124672937343,-0.5315875718727309,-0.8625071375929104,0.5626582534312581,-0.19516544429171995,-0.592333614639263
3500758,Alambari,0.2621200442675956,-0.10775009362834509,0.07173521822794877,0.19225047222769867,-0.3624908935744778,0.0932844797412434,-0.019104181913750053,0.22786551814367234,-0.3761639061750859,-0.4648555226804168,-0.9734839419677688,0.1097121575364675,-0.26899278690399697,0.12482569290266605,-0.38654566109477384,-0.27969609079756,-0.2922062152160345,-0.19626930613365307,-0.08864370591629663,-0.32084981616853203,-0.19516544429171995,-0.04714423566589192
3500808,Alfredo Marcondes,0.15069882399570528,0.21694462383147095,0.16032451433971368,-0.06600818318010537,0.4799395053171306,-0.7026618289518174,-0.4186188692697648,-0.803595461116235,0.010274742216056187,-0.2284347064532079,0.18765291874636167,-0.13163360227191384,0.12520521268149487,-0.046387109898137414,-0.0738847560603328,0.048715154120052624,-0.031012124672937343,-0.5315875718727309,0.10486568290916139,-0.09996451598396681,-0.19516544429171995,0.4980451433074793
