codigo_ibge,municipio,populacao,ano_populacao,ano_pib,pib_percapita,taxa_urbanizacao,taxa_cvli,taxa_tentativa_homicidio,taxa_lesao_dolosa,taxa_roubo_outros,taxa_roubo_veiculo,taxa_roubo_carga,taxa_furto_outros,taxa_furto_veiculo,taxa_estupro_total,taxa_trafico,total_ocorrencias_janela,n_ocorrencias,prop_via_publica,prop_noturno,cobertura_periodo,taxa_recuperacao_veiculo,prop_veiculo_motocicleta,prop_celular_em_furto_roubo,iegm_conceito,i_planejamento_conceito,i_fiscal_conceito,i_educ_conceito,i_saude_conceito,i_amb_conceito,i_cidade_conceito,i_gov_ti_conceito,iegm_ord,i_planejamento_ord,i_fiscal_ord,i_educ_ord,i_saude_ord,i_amb_ord,i_cidade_ord,i_gov_ti_ord,iegm_exercicio_ref,iegm_ano_apuracao,flag_sem_iegm,flag_pop_pequena,flag_capital,janela_anos,exposicao_anos,ano_populacao_ref
3500907,Altair,3479,2024,2023,60514.228226501866,85.85917125470878,19.162594615310912,0.0,594.0404330746384,0.0,0.0,0.0,661.1095142282265,9.581297307655456,76.65037846124365,67.0690811535882,149,161,0.2670807453416149,0.5714285714285714,0.17391304347826086,3.0,0.0,0.031055900621118012,C,C,B,C+,B,C,C,C,1.0,1.0,2.6667,2.6667,2.6667,1.0,1.0,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3501004,Altinópolis,17156,2024,2023,55172.417813010026,90.54584373885125,5.828864537188156,11.657729074376311,334.1882334654543,15.543638765835082,29.14432268594078,5.828864537188156,573.1716794901687,36.91614206885832,42.74500660604648,167.09411673272714,629,746,0.3726541554959786,0.6037735849056604,0.14209115281501342,1.9230769230769231,0.3333333333333333,0.10455764075067024,B,B,B,C+,B+,C,C,B,2.6667,2.3333,2.6667,2.6667,3.3333,1.6667,1.6667,3.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3501103,Alto Alegre,3883,2024,2023,44397.630697913984,80.73418380630044,0.0,8.584427847883939,145.93527341402697,17.168855695767878,8.584427847883939,0.0,489.31238732938453,42.92213923941969,60.090994935187574,17.168855695767878,92,110,0.19090909090909092,0.7777777777777778,0.24545454545454545,4.666666666666667,1.0,0.07272727272727272,B,C,B,B+,B,B,A,C,2.6667,1.0,3.0,3.6667,3.0,1.6667,3.6667,1.3333,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3501152,Alumínio,17591,2024,2023,195497.35660280826,96.277671810878,11.369450287078621,5.6847251435393105,269.0769901275273,51.16252629185379,26.528717336516777,3.78981676235954,852.7087715308965,125.0639531578648,43.58289276713471,108.0097777272469,790,916,0.40502183406113534,0.5466666666666666,0.16375545851528384,1.125,0.4,0.11135371179039301,C,C,B,C,C,C,C+,C,1.0,1.0,3.0,1.3333,1.0,1.0,1.6667,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3501202,Álvares Florence,3978,2024,2023,44142.28255404726,66.97318007662835,0.0,0.0,469.2475280710575,0.0,0.0,0.0,729.0095525389643,41.897100720630135,92.17362158538629,16.758840288252053,161,187,0.22994652406417113,0.5555555555555556,0.1443850267379679,3.0,0.6,0.0962566844919786,C,C+,C,C,B,C,C,C,1.0,2.3333,1.6667,1.0,3.3333,1.0,1.0,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3501301,Álvares Machado,28250,2024,2023,30434.37168141593,92.54448725004586,8.259587020648967,8.259587020648967,374.0412979351032,9.43952802359882,0.0,0.0,567.551622418879,23.598820058997052,30.678466076696164,51.91740412979351,910,1134,0.3271604938271605,0.49056603773584906,0.4673721340388007,3.923076923076923,0.6153846153846154,0.08289241622574955,B,C,B,B,B,B,C,A,2.3333,1.0,3.0,2.6667,2.3333,1.6667,2.0,4.3333,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3501400,Álvaro de Carvalho,4896,2024,2023,14170.138888888889,60.39933444259567,6.8082788671023975,13.616557734204795,442.5381263616557,27.23311546840959,0.0,0.0,578.7037037037037,13.616557734204795,61.27450980392157,224.67320261437908,201,231,0.24675324675324675,0.6875,0.13852813852813853,1.5,0.0,0.05194805194805195,C,C,C,C+,B,C,C,C,1.0,1.0,1.3333,1.6667,2.0,1.0,1.0,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3501509,Alvinlândia,2923,2024,2023,28263.085870680807,91.57712305025996,0.0,0.0,421.94092827004215,22.807617744326603,11.403808872163301,0.0,399.1333105257156,11.403808872163301,45.615235488653205,34.21142661648991,83,96,0.3125,0.5882352941176471,0.17708333333333334,12.0,0.0,0.07291666666666667,C+,C,C+,B,B,B,C,C+,1.6667,1.0,2.6667,2.3333,2.6667,2.6667,1.3333,1.6667,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3501608,Americana,246655,2024,2023,71357.0209401796,99.82675771370764,4.459670389815734,3.513679701066942,302.17645429175707,100.27501300737198,30.8122681478178,2.7028305392822634,928.4222902434575,297.9870669558695,22.433493476042784,108.11322157129052,13326,16227,0.6124360633512048,0.5636363636363636,0.14913415911752018,0.7202497073741709,0.1369488880218494,0.15116780674185,C+,C,C+,B,C+,C+,B,C,1.6667,1.0,2.0,2.3333,1.6667,2.0,2.3333,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3501707,Américo Brasiliense,33757,2024,2023,44582.21998400332,99.20046034101578,11.849394199721539,11.849394199721539,403.8668523071758,61.22187003189462,9.874495166434617,0.9874495166434617,899.5665096621937,52.33482438210346,41.472879699025384,83.93320891469423,1597,1791,0.41261864879955334,0.5789473684210527,0.20156337241764377,1.6271186440677967,0.3050847457627119,0.10999441652707985,C,C,B,B,C,C,C,C+,1.0,1.0,2.3333,3.0,1.0,1.0,1.0,1.6667,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3501806,Américo de Campos,5975,2024,2023,29430.62761506276,88.00681431005111,0.0,5.578800557880056,340.3068340306834,11.157601115760112,0.0,0.0,496.51324965132494,61.36680613668061,50.20920502092051,89.2608089260809,189,218,0.2889908256880734,0.5454545454545454,0.15137614678899083,0.2727272727272727,0.45454545454545453,0.022935779816513763,C+,C,B,B,B,C,B,C,2.0,2.0,2.6667,3.0,3.0,1.0,1.6667,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3501905,Amparo,69717,2024,2023,96080.85545849649,92.23326667450888,5.259358071441207,5.7374815324813175,339.94578079951805,44.46548187673021,12.431209987042854,0.9562469220802197,513.0264736960378,43.03111149360988,49.724839948171415,131.00582832499006,2396,3021,0.46640185369083087,0.4760820045558087,0.145316120489904,1.328,0.264,0.18007282356835486,C+,C,B,B,B,C,B+,A,2.0,1.0,2.6667,3.0,3.0,1.0,4.0,4.6667,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3502002,Analândia,4684,2024,2023,56851.409052092225,84.89867073436479,0.0,14.232849416453174,341.58838599487615,21.34927412467976,35.58212354113294,0.0,868.2038144036437,42.69854824935952,56.931397665812696,135.21206945630516,213,248,0.36693548387096775,0.6956521739130435,0.18548387096774194,6.333333333333333,0.3333333333333333,0.0967741935483871,C,C,C+,C,C+,C,C,C+,1.0,1.0,2.6667,1.0,2.0,1.0,1.3333,2.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3502101,Andradina,61473,2024,2023,72632.53786215086,91.551109847281,5.96467825983223,15.182817388663858,400.175686886926,35.78806955899338,1.0844869563331327,1.0844869563331327,910.4267998416649,52.05537390399037,41.21050434065904,108.44869563331326,2898,3911,0.4282792124776272,0.6812816188870152,0.15162362567118384,3.0303030303030303,0.6212121212121212,0.08693428790590642,B,B,B+,C+,C+,C+,B+,B,2.3333,1.6667,3.3333,1.3333,2.3333,2.0,4.0,2.6667,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3502200,Angatuba,24512,2024,2023,72473.68635770235,70.83506785446674,6.7993907745865965,9.519147084421236,310.0522193211488,10.879025239338555,5.439512619669277,1.3598781549173193,469.1579634464752,24.477806788511746,29.917319408181026,65.27415143603133,686,788,0.3426395939086294,0.532871972318339,0.366751269035533,1.65625,0.53125,0.08121827411167512,C,C,C,C,C+,B,C+,C+,1.0,1.0,1.3333,1.3333,1.6667,1.6667,1.6667,1.6667,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3502309,Anhembi,5766,2024,2023,54655.56711758585,81.52978498413817,17.34304543877905,11.562030292519365,456.700196554515,28.905075731298414,34.6860908775581,0.0,849.8092265001735,34.6860908775581,63.59116660885651,63.59116660885651,270,304,0.2532894736842105,0.6551724137931034,0.19078947368421054,0.7380952380952381,0.0,0.06578947368421052,C,C,C,C,C,C,C,C,1.0,1.0,1.3333,1.3333,2.3333,1.0,1.0,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3502408,Anhumas,4108,2024,2023,32223.953261927945,84.36490181456624,8.114248620577735,0.0,632.9113924050632,0.0,0.0,0.0,503.08341447581955,32.45699448231094,40.57124310288867,24.342745861733203,153,176,0.4147727272727273,0.5675675675675675,0.21022727272727273,3.0,0.6666666666666666,0.045454545454545456,B,C,B+,B+,B,C+,C+,C,2.3333,1.0,3.0,3.3333,3.3333,1.3333,1.3333,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3502507,Aparecida,33223,2024,2023,41227.43280257653,97.99502594491696,35.1162347369794,24.07970381964302,507.6804221974736,217.7206553692723,40.13283969940503,6.019925954910755,1497.9582417802928,98.32545726354233,45.149444661830664,231.76714926406405,2695,3069,0.588139459107201,0.24826789838337182,0.2821766047572499,2.037037037037037,0.7962962962962963,0.20332355816226785,C,C,C,C,C,C,C,C,1.0,1.0,1.6667,1.3333,2.0,1.0,1.3333,1.3333,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3502606,Aparecida d'Oeste,4124,2024,2023,54751.21241513094,79.12383749388154,0.0,8.08276753960556,678.9524733268671,0.0,0.0,0.0,468.80051729712255,24.248302618816684,48.49660523763337,88.91044293566117,163,205,0.14146341463414633,0.4387755102040816,0.47804878048780486,1.0,0.5,0.07804878048780488,C,C,C,B+,B,C,C,C,1.0,1.0,1.3333,3.3333,2.3333,1.0,1.0,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
